CAMIS,Name,Borough,Building,Street,Zipcode,Phone,Cuisine,Score,Grade,Date
41702705,ZZ'S PIZZA & GRILL,Staten Island,1,RICHMOND TERRACE,10301,7185240707,Pizza,18,B,02/12/2020
41702705,ZZ'S PIZZA & GRILL,Staten Island,1,RICHMOND TERRACE,10301,7185240707,Pizza,21,B,12/07/2017
41702705,ZZ'S PIZZA & GRILL,Staten Island,1,RICHMOND TERRACE,10301,7185240707,Pizza,15,B,07/26/2018
41702705,ZZ'S PIZZA & GRILL,Staten Island,1,RICHMOND TERRACE,10301,7185240707,Pizza,18,B,02/12/2020
41702705,ZZ'S PIZZA & GRILL,Staten Island,1,RICHMOND TERRACE,10301,7185240707,Pizza,18,B,02/12/2020
41702705,ZZ'S PIZZA & GRILL,Staten Island,1,RICHMOND TERRACE,10301,7185240707,Pizza,18,B,02/12/2020
41702705,ZZ'S PIZZA & GRILL,Staten Island,1,RICHMOND TERRACE,10301,7185240707,Pizza,21,B,12/07/2017
41702705,ZZ'S PIZZA & GRILL,Staten Island,1,RICHMOND TERRACE,10301,7185240707,Pizza,21,B,12/07/2017
41702705,ZZ'S PIZZA & GRILL,Staten Island,1,RICHMOND TERRACE,10301,7185240707,Pizza,15,B,07/26/2018
41702705,ZZ'S PIZZA & GRILL,Staten Island,1,RICHMOND TERRACE,10301,7185240707,Pizza,7,A,02/13/2019
41702705,ZZ'S PIZZA & GRILL,Staten Island,1,RICHMOND TERRACE,10301,7185240707,Pizza,11,A,08/22/2019
41702705,ZZ'S PIZZA & GRILL,Staten Island,1,RICHMOND TERRACE,10301,7185240707,Pizza,7,A,02/13/2019
41702705,ZZ'S PIZZA & GRILL,Staten Island,1,RICHMOND TERRACE,10301,7185240707,Pizza,11,A,08/22/2019
50001062,ZZ CLAM BAR,Manhattan,169,THOMPSON STREET,10012,2122543800,American,25,B,03/16/2018
50001062,ZZ CLAM BAR,Manhattan,169,THOMPSON STREET,10012,2122543800,American,25,B,03/16/2018
50001062,ZZ CLAM BAR,Manhattan,169,THOMPSON STREET,10012,2122543800,American,25,B,03/16/2018
50001062,ZZ CLAM BAR,Manhattan,169,THOMPSON STREET,10012,2122543800,American,25,B,03/16/2018
50001062,ZZ CLAM BAR,Manhattan,169,THOMPSON STREET,10012,2122543800,American,7,A,03/13/2020
50001062,ZZ CLAM BAR,Manhattan,169,THOMPSON STREET,10012,2122543800,American,12,A,11/02/2018
50001062,ZZ CLAM BAR,Manhattan,169,THOMPSON STREET,10012,2122543800,American,7,A,03/13/2020
50001062,ZZ CLAM BAR,Manhattan,169,THOMPSON STREET,10012,2122543800,American,12,A,11/02/2018
50001062,ZZ CLAM BAR,Manhattan,169,THOMPSON STREET,10012,2122543800,American,12,A,11/02/2018
41712791,ZYMI BAR & GRILL,Bronx,726,ASTOR AVENUE,10467,3473268787,American,25,B,07/22/2019
41712791,ZYMI BAR & GRILL,Bronx,726,ASTOR AVENUE,10467,3473268787,American,25,B,07/22/2019
41712791,ZYMI BAR & GRILL,Bronx,726,ASTOR AVENUE,10467,3473268787,American,25,B,07/22/2019
41712791,ZYMI BAR & GRILL,Bronx,726,ASTOR AVENUE,10467,3473268787,American,25,B,07/22/2019
